,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Daily Growth Rate of Cases (%),Daily Growth Rate of Deaths (%),Cases per 1M Population,DeathRate,RecoveryRate,HighMortalityRisk,SurvivalRate
15,Italy,Europe,60452568.0,249204,0.0,35187.0,0.0,201323.0,0.0,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,0.0,0.0,0.004122306268279621,0.14119757307266337,0.8078642397393301,True,True
16,Turkey,Asia,84428331.0,237265,0.0,5798.0,0.0,220546.0,0.0,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe,0.0,0.0,0.0028102533496723986,0.02443681116051672,0.9295344867553158,False,True
17,Argentina,South America,45236884.0,228195,0.0,4251.0,0.0,99852.0,0.0,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas,0.0,0.0,0.005044445590018976,0.018628804312101493,0.4375731282455794,False,False
18,Germany,Europe,83811260.0,215210,0.0,9252.0,0.0,196200.0,0.0,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe,0.0,0.0,0.00256779339673452,0.04299056735281818,0.9116676734352492,True,True
19,France,Europe,65288306.0,195633,0.0,30312.0,0.0,82460.0,0.0,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe,0.0,0.0,0.0029964477865301025,0.15494318443207433,0.4215035295681199,True,False
20,Iraq,Asia,40306025.0,140603,0.0,5161.0,0.0,101025.0,0.0,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean,0.0,0.0,0.0034883866617956,0.03670618692346536,0.7185124072743825,True,True
21,Philippines,Asia,109722719.0,119460,0.0,2150.0,0.0,66837.0,0.0,50473.0,239.0,1089.0,20.0,1669996.0,15220.0,WesternPacific,0.0,0.0,0.0010887444376948042,0.017997656119203082,0.5594927172275238,False,False
22,Indonesia,Asia,273808365.0,118753,0.0,5521.0,0.0,75645.0,0.0,37587.0,0.0,434.0,20.0,1633156.0,5965.0,South-EastAsia,0.0,0.0,0.0004337084442252157,0.046491457057926955,0.6369944338248297,True,False
23,Canada,North America,37775022.0,118561,0.0,8966.0,0.0,103106.0,0.0,6489.0,2263.0,3139.0,237.0,4319172.0,114339.0,Americas,0.0,0.0,0.0031386083640136597,0.07562351869501775,0.8696451615624025,True,True
24,Qatar,Asia,2807805.0,112092,0.0,178.0,0.0,108831.0,0.0,3083.0,77.0,39922.0,63.0,511000.0,181993.0,EasternMediterranean,0.0,0.0,0.039921575750452756,0.0015879813010741177,0.9709078257145916,False,True
25,Kazakhstan,Asia,18798667.0,95942,0.0,1058.0,0.0,68871.0,0.0,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe,0.0,0.0,0.005103659743533943,0.01102749577869963,0.7178399449667507,False,True
26,Egypt,Africa,102516525.0,95006,0.0,4951.0,0.0,48898.0,0.0,41157.0,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean,0.0,0.0,0.0009267383965658219,0.05211249815801107,0.5146832831610635,True,False
27,Ecuador,South America,17668824.0,90537,0.0,5877.0,0.0,71318.0,0.0,13342.0,378.0,5124.0,333.0,258582.0,14635.0,Americas,0.0,0.0,0.005124110127533106,0.06491268763047152,0.787722146746634,True,True
28,Bolivia,South America,11688459.0,86423,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0,Americas,1.5057375412550944,2.363367799113737,0.007393874590311691,0.0400934936301679,0.31673281418141,True,False
29,Sweden,Europe,10105596.0,81967,0.0,5766.0,0.0,0.0,0.0,0.0,38.0,8111.0,571.0,863315.0,85429.0,Europe,0.0,0.0,0.008111050550605823,0.07034538289799554,0.0,True,False
30,Oman,Asia,5118446.0,80713,0.0,492.0,0.0,70910.0,0.0,9311.0,177.0,15769.0,96.0,309212.0,60411.0,EasternMediterranean,0.0,0.0,0.015769043963734304,0.006095672320444043,0.8785449679729411,False,True
31,Israel,Asia,9197590.0,79559,0.0,576.0,0.0,53427.0,0.0,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe,0.0,0.0,0.008649983310845558,0.007239910003896479,0.6715393607260021,False,False
32,Ukraine,Europe,43705858.0,76808,0.0,1819.0,0.0,42524.0,0.0,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe,0.0,0.0,0.0017573845592963762,0.023682428913654827,0.5536402458077284,False,False
33,Dominican Republic,North America,10858648.0,76536,0.0,1246.0,0.0,40539.0,0.0,34751.0,317.0,7048.0,115.0,281926.0,25963.0,Americas,0.0,0.0,0.00704839129143886,0.016279920560259224,0.5296723110693007,False,False
34,Panama,North America,4321282.0,71418,0.0,1574.0,0.0,45658.0,0.0,24186.0,161.0,16527.0,364.0,240995.0,55769.0,Americas,0.0,0.0,0.01652703989232825,0.02203926181074799,0.6393066173793721,False,False
35,Belgium,Europe,11594739.0,71158,0.0,9859.0,0.0,17661.0,0.0,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe,0.0,0.0,0.006137093728457364,0.13855083054610867,0.24819415947609544,True,False
36,Kuwait,Asia,4276658.0,70045,0.0,469.0,0.0,61610.0,0.0,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean,0.0,0.0,0.016378443167538764,0.006695695624241559,0.8795774145192377,False,True
37,Belarus,Europe,9449001.0,68503,0.0,580.0,0.0,63756.0,0.0,4167.0,0.0,7250.0,61.0,1344303.0,142269.0,Europe,0.0,0.0,0.007249761112312296,0.008466782476679853,0.9307037647986219,False,True
38,UAE,Asia,9902079.0,61845,0.0,354.0,0.0,55739.0,0.0,5752.0,0.0,6246.0,36.0,5262658.0,531470.0,EasternMediterranean,0.0,0.0,0.006245658108766856,0.0057239873878244,0.901269302287978,False,True
39,Romania,Europe,19224023.0,57895,0.0,2566.0,0.0,28992.0,0.0,26337.0,458.0,3012.0,133.0,1319369.0,68631.0,Europe,0.0,0.0,0.003011596480091602,0.044321616719924004,0.5007686328698506,True,False
40,Netherlands,Europe,17138756.0,56982,0.0,6153.0,0.0,0.0,0.0,0.0,37.0,3325.0,359.0,1079860.0,63007.0,Europe,0.0,0.0,0.003324745389922116,0.10798146783194693,0.0,True,False
41,Singapore,Asia,5854932.0,54555,0.0,27.0,0.0,48031.0,0.0,6497.0,0.0,9318.0,5.0,1474372.0,251817.0,WesternPacific,0.0,0.0,0.009317785415782796,0.0004949133901567226,0.8804142608376867,False,True
42,Guatemala,North America,17946899.0,54339,0.0,2119.0,0.0,42070.0,0.0,10150.0,5.0,3028.0,118.0,172712.0,9624.0,Americas,0.0,0.0,0.0030277654095005493,0.03899593293950938,0.7742137323101271,True,True
43,Portugal,Europe,10193593.0,52061,0.0,1743.0,0.0,37840.0,0.0,12478.0,42.0,5107.0,171.0,1705474.0,167308.0,Europe,0.0,0.0,0.005107227647797984,0.0334799562052208,0.7268396688500028,True,True
44,Poland,Europe,37842302.0,49515,0.0,1774.0,0.0,35642.0,0.0,12099.0,72.0,1308.0,47.0,2374686.0,62752.0,Europe,0.0,0.0,0.0013084563407374107,0.03582752701201656,0.7198222760779561,True,True
45,Nigeria,Africa,206606300.0,45244,0.0,930.0,0.0,32430.0,0.0,11884.0,7.0,219.0,5.0,306894.0,1485.0,Africa,0.0,0.0,0.00021898654590881303,0.02055521174078331,0.7167801255415083,False,True
46,Honduras,North America,9919704.0,45098,0.0,1423.0,0.0,6116.0,0.0,37559.0,52.0,4546.0,143.0,109292.0,11018.0,Americas,0.0,0.0,0.004546305010714029,0.03155350569870061,0.13561577010066966,True,False
47,Bahrain,Asia,1706669.0,42889,0.0,156.0,0.0,39945.0,0.0,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean,0.0,0.0,0.02513023907975126,0.003637296276434517,0.9313576907831845,False,True
48,Japan,Asia,126435859.0,42263,0.0,1026.0,0.0,28877.0,0.0,12360.0,115.0,334.0,8.0,938739.0,7425.0,WesternPacific,0.0,0.0,0.00033426434821785806,0.02427655395972837,0.683269053309041,False,False
49,Armenia,Asia,2963811.0,39819,0.0,772.0,0.0,31556.0,0.0,7491.0,0.0,13435.0,260.0,171600.0,57898.0,Europe,0.0,0.0,0.01343506721582449,0.01938772947587835,0.7924859991461363,False,True
50,Ghana,Africa,31133483.0,39642,0.0,199.0,0.0,36384.0,0.0,3059.0,7.0,1273.0,6.0,405817.0,13035.0,Africa,0.0,0.0,0.0012732915234700852,0.005019928358811362,0.9178144392311185,False,True
51,Kyrgyzstan,Asia,6534479.0,38659,0.0,1447.0,0.0,30099.0,0.0,7113.0,24.0,5916.0,221.0,267718.0,40970.0,Europe,0.0,0.0,0.005916156437261486,0.037429835225949976,0.7785767867766885,True,True
52,Afghanistan,Asia,39009447.0,36896,0.0,1298.0,0.0,25840.0,0.0,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean,0.0,0.0,0.0009458221748183203,0.035179965307892455,0.7003469210754554,True,True
53,Switzerland,Europe,8660952.0,36108,0.0,1985.0,0.0,31600.0,0.0,2523.0,23.0,4169.0,229.0,822764.0,94997.0,Europe,0.0,0.0,0.004169056704159081,0.054973966987925116,0.8751523208153318,True,True
54,Algeria,Africa,43926079.0,33626,0.0,1273.0,0.0,23238.0,0.0,9115.0,57.0,766.0,29.0,0.0,0.0,Africa,0.0,0.0,0.0007655133525576002,0.0378576101825968,0.6910723844644026,True,False
55,Azerbaijan,Asia,10148243.0,33247,0.0,479.0,0.0,29275.0,0.0,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe,0.0,0.0,0.003276133612488388,0.014407314945709387,0.8805305741871448,False,True
56,Morocco,Africa,36953359.0,29644,0.0,449.0,0.0,20553.0,0.0,8642.0,31.0,802.0,12.0,1383816.0,37448.0,EasternMediterranean,0.0,0.0,0.0008022004170175707,0.01514640399406288,0.6933274861692079,False,False
57,Uzbekistan,Asia,33516027.0,28315,0.0,175.0,0.0,19291.0,0.0,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe,0.0,0.0,0.0008448197037196562,0.006180469715698393,0.6812996644887869,False,False
58,Serbia,Europe,8733665.0,27332,0.0,621.0,0.0,14047.0,0.0,12664.0,120.0,3129.0,71.0,723137.0,82799.0,Europe,0.0,0.0,0.0031294994712987045,0.022720620518074053,0.5139397043758233,False,False
59,Moldova,Europe,4032983.0,26628,0.0,828.0,0.0,18676.0,0.0,7124.0,362.0,6603.0,205.0,128076.0,31757.0,Europe,0.0,0.0,0.006602556965898443,0.031095087877422264,0.7013669821240799,True,True
